article_id,topic_id,topic_name
0,8,War & Terrorism
1,10,Economy & Business
2,2,Environmental & Natural Disasters
3,14,Law & Legal Issues
4,17,Social Movements & Protests
5,3,International Affairs & Military
6,19,Sports & Competitions
7,4,Crime & Law Enforcement
8,1,Entertainment & Media
9,3,International Affairs & Military
10,10,Economy & Business
11,15,Urban Life & Infrastructure
12,17,Social Movements & Protests
13,13,Art & Aesthetics
14,19,Sports & Competitions
15,19,Sports & Competitions
16,9,Elections & Politics
17,13,Art & Aesthetics
18,8,War & Terrorism
19,8,War & Terrorism
20,19,Sports & Competitions
21,4,Crime & Law Enforcement
22,3,International Affairs & Military
23,4,Crime & Law Enforcement
24,5,Thoughts & Opinions
25,19,Sports & Competitions
26,10,Economy & Business
27,19,Sports & Competitions
28,19,Sports & Competitions
29,11,Transportation & Aviation
30,1,Entertainment & Media
31,1,Entertainment & Media
32,5,Thoughts & Opinions
33,0,Family & Relationships
34,10,Economy & Business
35,2,Environmental & Natural Disasters
36,1,Entertainment & Media
37,19,Sports & Competitions
38,4,Crime & Law Enforcement
39,3,International Affairs & Military
40,10,Economy & Business
41,0,Family & Relationships
42,9,Elections & Politics
43,17,Social Movements & Protests
44,19,Sports & Competitions
45,3,International Affairs & Military
46,19,Sports & Competitions
47,8,War & Terrorism
48,10,Economy & Business
49,3,International Affairs & Military
50,8,War & Terrorism
51,17,Social Movements & Protests
52,9,Elections & Politics
53,5,Thoughts & Opinions
54,5,Thoughts & Opinions
55,19,Sports & Competitions
56,16,Healthcare & Medicine
57,12,Technology & Computing
58,11,Transportation & Aviation
59,10,Economy & Business
60,3,International Affairs & Military
61,1,Entertainment & Media
62,8,War & Terrorism
63,5,Thoughts & Opinions
64,19,Sports & Competitions
65,11,Transportation & Aviation
66,13,Art & Aesthetics
67,3,International Affairs & Military
68,8,War & Terrorism
69,2,Environmental & Natural Disasters
70,17,Social Movements & Protests
71,1,Entertainment & Media
72,19,Sports & Competitions
73,4,Crime & Law Enforcement
74,9,Elections & Politics
75,18,Gender & Identity
76,19,Sports & Competitions
77,5,Thoughts & Opinions
78,19,Sports & Competitions
79,6,Health & Drugs Research
80,2,Environmental & Natural Disasters
81,11,Transportation & Aviation
82,7,Education & School Safety
83,5,Thoughts & Opinions
84,1,Entertainment & Media
85,0,Family & Relationships
86,19,Sports & Competitions
87,10,Economy & Business
88,2,Environmental & Natural Disasters
89,13,Art & Aesthetics
90,8,War & Terrorism
91,0,Family & Relationships
92,5,Thoughts & Opinions
93,18,Gender & Identity
94,3,International Affairs & Military
95,19,Sports & Competitions
96,4,Crime & Law Enforcement
97,19,Sports & Competitions
98,5,Thoughts & Opinions
99,4,Crime & Law Enforcement
100,4,Crime & Law Enforcement
101,4,Crime & Law Enforcement
102,8,War & Terrorism
103,10,Economy & Business
104,9,Elections & Politics
105,5,Thoughts & Opinions
106,17,Social Movements & Protests
107,4,Crime & Law Enforcement
108,19,Sports & Competitions
109,3,International Affairs & Military
110,4,Crime & Law Enforcement
111,8,War & Terrorism
112,4,Crime & Law Enforcement
113,0,Family & Relationships
114,19,Sports & Competitions
115,15,Urban Life & Infrastructure
116,9,Elections & Politics
117,8,War & Terrorism
118,4,Crime & Law Enforcement
119,3,International Affairs & Military
120,0,Family & Relationships
121,10,Economy & Business
122,3,International Affairs & Military
123,4,Crime & Law Enforcement
124,17,Social Movements & Protests
125,17,Social Movements & Protests
126,4,Crime & Law Enforcement
127,5,Thoughts & Opinions
128,5,Thoughts & Opinions
129,4,Crime & Law Enforcement
130,2,Environmental & Natural Disasters
131,11,Transportation & Aviation
132,1,Entertainment & Media
133,8,War & Terrorism
134,8,War & Terrorism
135,10,Economy & Business
136,0,Family & Relationships
137,4,Crime & Law Enforcement
138,8,War & Terrorism
139,10,Economy & Business
140,0,Family & Relationships
141,14,Law & Legal Issues
142,1,Entertainment & Media
143,3,International Affairs & Military
144,11,Transportation & Aviation
145,19,Sports & Competitions
146,8,War & Terrorism
147,3,International Affairs & Military
148,4,Crime & Law Enforcement
149,8,War & Terrorism
150,12,Technology & Computing
151,3,International Affairs & Military
152,12,Technology & Computing
153,4,Crime & Law Enforcement
154,13,Art & Aesthetics
155,13,Art & Aesthetics
156,3,International Affairs & Military
157,8,War & Terrorism
158,9,Elections & Politics
159,8,War & Terrorism
160,4,Crime & Law Enforcement
161,19,Sports & Competitions
162,4,Crime & Law Enforcement
163,16,Healthcare & Medicine
164,12,Technology & Computing
165,15,Urban Life & Infrastructure
166,9,Elections & Politics
167,16,Healthcare & Medicine
168,4,Crime & Law Enforcement
169,17,Social Movements & Protests
170,15,Urban Life & Infrastructure
171,15,Urban Life & Infrastructure
172,0,Family & Relationships
173,11,Transportation & Aviation
174,8,War & Terrorism
175,19,Sports & Competitions
176,19,Sports & Competitions
177,8,War & Terrorism
178,5,Thoughts & Opinions
179,19,Sports & Competitions
180,17,Social Movements & Protests
181,16,Healthcare & Medicine
182,2,Environmental & Natural Disasters
183,8,War & Terrorism
184,13,Art & Aesthetics
185,15,Urban Life & Infrastructure
186,10,Economy & Business
187,4,Crime & Law Enforcement
188,10,Economy & Business
189,3,International Affairs & Military
190,13,Art & Aesthetics
191,3,International Affairs & Military
192,12,Technology & Computing
193,19,Sports & Competitions
194,6,Health & Drugs Research
195,2,Environmental & Natural Disasters
196,5,Thoughts & Opinions
197,19,Sports & Competitions
198,8,War & Terrorism
199,4,Crime & Law Enforcement
200,16,Healthcare & Medicine
201,1,Entertainment & Media
202,1,Entertainment & Media
203,10,Economy & Business
204,13,Art & Aesthetics
205,16,Healthcare & Medicine
206,9,Elections & Politics
207,8,War & Terrorism
208,0,Family & Relationships
209,19,Sports & Competitions
210,8,War & Terrorism
211,15,Urban Life & Infrastructure
212,12,Technology & Computing
213,19,Sports & Competitions
214,9,Elections & Politics
215,1,Entertainment & Media
216,17,Social Movements & Protests
217,17,Social Movements & Protests
218,3,International Affairs & Military
219,8,War & Terrorism
220,9,Elections & Politics
221,5,Thoughts & Opinions
222,19,Sports & Competitions
223,12,Technology & Computing
224,3,International Affairs & Military
225,10,Economy & Business
226,13,Art & Aesthetics
227,17,Social Movements & Protests
228,4,Crime & Law Enforcement
229,13,Art & Aesthetics
230,15,Urban Life & Infrastructure
231,5,Thoughts & Opinions
232,4,Crime & Law Enforcement
233,16,Healthcare & Medicine
234,0,Family & Relationships
